sent,type
"After her death, my grandmother's finances, assets and properties were entrusted to my mother.","['a1_possesive_s_sing', 'a2_passive_past_simple']"
"Donald Trump, a man who is happy to admit he doesn't read, may become our .","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms', 'a1_present_simple_reg_act']"
I did not know that men cannot always fully control the stream when they pee.,"['a1_past_simple_irreg', 'a1_can', 'a1_present_simple_reg_act']"
I don't need to continue to hear beeps that the timer is done.,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a2_passive_present_perf']"
I ended up asking my ex about an hour after she settled into her new bed in the hospital.,['a1_past_simple_reg']
"After many months, while searching the ocean below, he found a sunken pillar.",['a1_past_simple_irreg']
"But if we get caught, you two will be expelled, too.","['a2_first_conditional_if_m', 'a2_passive_will']"
"Every year, Harry was left behind with Mrs. Figg, a mad old lady who lived two streets away.","['a1_to_be_past_was_were', 'a2_relative_clause_who_which_that', 'a1_past_simple_reg']"
"Then he ran, before Dudley could work out what he'd said.","['a1_past_simple_irreg', 'a2_could', 'a2_past_perfect_basic', 'a2_narrative_tenses']"
"He'd be able to read as long as he liked, as long as it took to find out who Flamel was.","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that', 'a1_to_be_past_was_were']"
A simple way to find the balance is to try to sublimate envy into inspiration.,"['a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
What set me out on this journey was the fear of the repeating circle of my everyday life.,"['a1_to_be_past_was_were', 'a1_past_simple_irreg']"
"We have examples of perfect shoved into our faces when in our journey, we are mediocre at best.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
I'll just keep an eye on her while she and Magda play hopscotch.,"['a1_future_simple', 'a1_present_simple_reg_act']"
"But it could've been anywhere in the city, because more than half the city of Nairobi lives like this.","['a2_could', 'a1_comparative_exept', 'a1_present_simple_3d_pers']"
"If it happens, how bad do you think it will be?","['a1_present_simple_reg_act', 'a1_special_questions', 'a1_future_simple']"
"And it was defended, believe it or not, by the librarians.",['a2_passive_past_simple']
"If that's what you're looking for in this election, then you're in luck.","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a2_zero_conditional_if_m']"
"It's hard to predict exactly what will happen but some systems have been pushed over the threshold, certainly, said Schuurman.","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms', 'a1_future_simple', 'a2_passive_present_perf', 'a2_say_reported_verb', 'a1_past_simple_irreg']"
I was also turned off by the school's decision to grant the slaves' descendants legacy access without any guaranteed financial support.,"['a2_passive_past_simple', 'a1_possesive_s_sing', 'a2_to_non_finite_forms', 'a1_possessive_s_plurar']"
I remember there was something about not being allowed to use the letter 'E'.,"['a1_present_simple_reg_act', 'a1_there_was_were', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']"
Could you not take the tow company to small claims court to get your towing fees back?,"['a2_could', 'a2_to_non_finite_forms']"
"In their heads they're being sneaky, but thousands of people are following along at home.",['a1_present_continuous_act_rn']
Plan of the century here folks: Hit him until he goes down.,"['a2_imperatives', 'a1_present_simple_reg_act']"
How many people wander around with dragon eggs if it's against wizard law?,"['a1_special_questions', 'a1_present_simple_reg_act', 'a2_zero_conditional_m_if', 'a1_to_be_present_is_am_are']"
"I want to go to the feast, he told Madam Pomfrey as she straightened his many candy boxes.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a1_past_simple_irreg', 'a1_past_simple_reg']"
Do I love anything as much as those children loved playing with that puppy on the side of the highway?I pass Indianapolis.,"['a1_present_simple_reg_act', 'a2_ing_non_finite_forms', '_a2_much_many_a_lot']"
"It started off jubilant but, at some point a few years in, I found myself struggling to maintain my joy.","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']"
"In the cold winter months, the mountain snow may travel to the seaside towns as it had recently.","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']"
He was lucky to still be able to use mobile data to read the news.,"['a1_to_be_past_was_were', 'a2_to_non_finite_forms']"
"Give me a design challenge, sustainability speed bump, that's keeping you from being sustainable.","['a2_imperatives', 'a1_present_continuous_act_rn', 'a2_ing_non_finite_forms']"
"In 2004, there were only two flights: two Russian Soyuz flights to the international manned station.",['a1_there_was_were']
"Wilkins and this collaborator, or possible collaborator, Rosalind Franklin, came up and sort of laughed at our model.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
"Not that he didn't want to talk, that was just his style.","['a1_past_simple_reg', 'a1_to_be_past_was_were']"
The planners should sit down and realise they're not doing this for themselves they're doing it for the nation.,"['a2_should', 'a1_present_continuous_act_rn']"
When he got sick we didn't talk about it any more.,"['a1_past_simple_irreg', 'a1_past_simple_reg']"
They offer financing at rates that would make a loan shark uneasy.,['a1_present_simple_reg_act']
"I see no real practical use for it, but it's fuckin genius.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"She would text me to tell me she was going out with ex boyfriends for drinks, but not to worry about it.","['a2_to_non_finite_forms', 'a2_past_continuous']"
"You try to pretend like you didn't feel it, but you still turn the faucet up to stay warm.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a1_past_simple_irreg']"
"Vault seven hundred and thirteen now, please, and can we go more slowly?","['a1_can', 'a1_comparative_exept']"
"Keep your brooms steady, rise a few feet, and then come straight back down by leaning forward slightly.",['a2_imperatives']
"Harry gripped the edges of the stool and thought, Not Slytherin, not Slytherin.",['a1_past_simple_reg']
"He found a pair under his bed and, after pulling a spider off one of them, put them on.",['a1_past_simple_irreg']
"No, my phone died a little while ago , he replied.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
"It was always the case that migration brought the risk of disease, war, and death.","['a1_to_be_past_was_were', 'a1_past_simple_irreg']"
Moving to a new country is something you should at least once in your lifetime.,"['a2_ing_non_finite_forms', 'a1_to_be_present_is_am_are', 'a2_should']"
"It was perhaps eight feet tall, 40 feet long, and 10 feet wide.",['a1_to_be_past_was_were']
"They have a sense of humor, and these are the kind of things which traditionally have been thought of as human prerogatives.","['a1_present_simple_reg_act', 'a1_there_is_am_are', 'a2_relative_clause_who_which_that', 'a2_passive_present_perf']"
"We had some theories related to cash flow, and lack of access to capital markets, and things like that.","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']"
"The whole thing is so tasty, you may just want seconds.","['a1_to_be_present_is_am_are', 'a2_zero_non_finite_forms']"
"And given Bill Clinton's record, that implies a more centrist approach and an ability to strike big deals with congressional Republicans.","['a1_possesive_s_sing', 'a1_comparative_long', 'a1_present_simple_3d_pers']"
"I still haven't had an appointment, which means I haven't had any medical intervention in three years.","['a2_present_perfect', 'a2_relative_clause_who_which_that', 'a1_present_simple_3d_pers']"
"And yes, we kept on asking questions until he was finished the first banana just to see what he would do next.","['a1_past_simple_irreg', 'a2_passive_past_simple', 'a2_to_non_finite_forms']"
I mentioned how I was quarterback in High School and saw his eyes light up.,"['a1_past_simple_reg', 'a1_to_be_past_was_were', 'a1_past_simple_irreg']"
"Imagine putting three kids in a second-floor room, windows nailed shut, with the outside temperature 100 degrees Fahrenheit.","['a2_ing_non_finite_forms', 'a2_imperatives']"
Ten years on she murders him for leaving the toilet seat up.,"['a2_ing_non_finite_forms', 'a1_present_simple_3d_pers']"
Harry and Ron were followed into their boat by Neville and Hermione.,['a2_passive_past_simple']
Hermione didn't turn up for the next class and wasn't seen all afternoon.,"['a1_past_simple_reg', 'a2_passive_past_simple']"
"Thanks, said Harry, I'll need something to look forward to.","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_future_simple', 'a2_to_non_finite_forms']"
It's responsible for pumping blood around our body and supplying it with oxygen and other important nutrients.,"['a1_to_be_present_is_am_are', 'a2_ing_non_finite_forms']"
"It's just fermented, and a little fermentation is good for your stomach.","['a2_passive_present_simple', 'a1_to_be_present_is_am_are']"
You've got countries that build their food around a certain flavor or taste.,"['a1_have_has_got', 'a2_relative_clause_who_which_that', 'a1_present_simple_reg_act']"
"So, that's sort of to put it in perspective here.","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']"
"In that one, there were 400 people that worked on the floor.","['a1_to_be_past_was_were', 'a1_past_simple_reg']"
"These people are reaching thousands, if not millions, of readers, and that's incredibly important.","['a1_present_continuous_act_rn', 'a1_to_be_present_is_am_are']"
"In fact, Solzhenitsyn once said, To have a great writer is to have another government.","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
"The Australian Kim Brennan, a competitor in single sculls, was a particularly vociferous critic, insisting the course was not rowable .",['a1_to_be_past_was_were']
The FBI has a solemn obligation to remain neutral in political matters.,"['a1_present_simple_3d_pers', 'a2_to_non_finite_forms']"
"And the next day, as it turned out, I was given no choice.","['a2_passive_past_simple', 'a1_past_simple_reg']"
"I take time to veg out, daydream, and cuddle my wife and kid.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
"To add to this, people on TV or in movies barely glance at the road while they have a conversation and drive.","['a2_to_non_finite_forms', 'a1_present_simple_reg_act']"
"Hermione, however, stood alone by the door, waiting for them.","['a1_past_simple_irreg', 'a2_ing_non_finite_forms']"
"They landed quickly, and Harry ran to the door, the key struggling in his hand.","['a1_past_simple_reg', 'a1_past_simple_irreg']"
"Hermione, however, had more on her mind than the Sorcerer's Stone.","['a1_past_simple_irreg', 'a1_possesive_s_sing', 'a1_comparative_exept']"
She turned to look him squarely in the eyes for an answer.,"['a1_past_simple_reg', 'a2_to_non_finite_forms']"
"Sluggish, almost imperceptibly heavier in some way, like he was holding a pair of dumbbells.","['a1_present_continuous_act_rn', 'a1_comparative_short']"
"Wingspan became one of the 20th best-ranked games on BoardGameGeek's list of 18,000 games.",['a1_past_simple_irreg']
And she said things that really shocked me about her vagina - that it was dried-up and finished and dead -,"['a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_past_simple_reg', 'a2_passive_past_simple']"
It's almost as if we're getting back to this starting point.,"['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn']"
"That's why there's lots and lots of kinds of hot sauces, and not so many kinds of mustard.","['a1_to_be_present_is_am_are', 'a1_there_is_am_are', '_a2_much_many_a_lot']"
He is the only model for black community; I don't care Jesse Jackson.,"['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']"
They do things like make big shots and do some of those things.,['a1_present_simple_reg_act']
Trump said he would continue to pursue his strong interest in philanthropy in other ways.,"['a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']"
"Parker responded to the development on his Facebook page, saying he was devastated .","['a1_past_simple_reg', 'a2_passive_past_simple']"
"I see some great polls, he told a rally in Virginia on Tuesday.","['a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a2_tell_reported_verb']"
This is literally the juciest secret in this thread for some reason.,['a1_to_be_present_is_am_are']
"Americas presence is bigger than it ever was in the middle east, and Israel still gets funded billions in military aid.","['a1_to_be_present_is_am_are', 'a1_comparative_exept', 'a1_to_be_past_was_were', 'a1_present_simple_3d_pers']"
Much better than pretty much all of the other stories in this thread.,"['_a2_much_many_a_lot', 'a1_comparative_exept']"
"It buzzed around the box for sometime, and then flew away.","['a1_past_simple_reg', 'a1_past_simple_irreg']"
He pulled the cloak over his head and his reflection vanished completely.,['a1_past_simple_reg']
"Look, Snape helped protect the Stone, he's not about ter steal it.","['a1_past_simple_reg', 'a1_to_be_present_is_am_are']"
They sped up a staircase to the third floor and tiptoed toward the trophy room.,"['a1_past_simple_irreg', 'a2_to_non_finite_forms']"
You are most of your time alone working because your colleagues are not there.,"['a1_to_be_present_is_am_are', 'a2_ing_non_finite_forms']"
Anything that is written in your BuJo is something less to keep in mind.,"['a2_passive_present_simple', 'a1_to_be_present_is_am_are', 'a2_to_non_finite_forms', 'a1_comparative_exept']"
"If you're someone who wants to start selling online courses, here is what you need to get started.","['a2_zero_conditional_if_m', 'a1_to_be_present_is_am_are', 'a2_relative_clause_who_which_that', 'a1_present_simple_3d_pers', 'a2_relative_clause_others', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
"Beyond a little bit of alcohol, the next day's readiness score drops considerably.",['a1_to_be_present_is_am_are']
"Indeed, catastrophe could arise simply from technical misadventure - error rather than terror.",['a2_could']
Hard work and persistence -don't give up - and love and compassion leading to respect for all life.,['a2_imperatives']
It's done by men and women who believe a lot in their craft.,"['a2_passive_present_simple', 'a2_relative_clause_who_which_that', 'a1_present_simple_reg_act', '_a2_much_many_a_lot']"
But you need lots of these guys on the ground to win the peace.,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
"You throw in absent fathers, losing family to crime, people with no support all those are ingredients for mental health problems.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"I get to fly a fighter jet, because I'm highly trained, she said.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a2_passive_present_simple', 'a1_past_simple_irreg', 'a2_say_reported_verb']"
"To be honest, I think I win without unity, he said.","['a2_say_reported_verb', 'a1_present_simple_reg_act', 'a1_past_simple_irreg']"
Make me a fancy psi-blocker helmet and throw bridges at Xavier until he stops trying to kill me.,"['a2_imperatives', 'a1_present_simple_3d_pers', 'a2_ing_non_finite_forms', 'a2_to_non_finite_forms']"
He then presented it to me when I was 24 and pregnant with my first child.,"['a1_past_simple_reg', 'a1_to_be_past_was_were']"
But I can still feel her silk gloves on my cheeks as she did it.,"['a1_can', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']"
"The tall, thin, black-haired man standing next to her put his arm around her.",['a1_past_simple_irreg']
"The snake jerked its head toward Uncle Vernon and Dudley, then raised its eyes to the ceiling.",['a1_past_simple_reg']
It was staring down Privet Drive as though it were waiting for something.,['a2_past_continuous']
"This could be a missing limb, recent domestic violence, mental health, stroke, ect.",['a2_could']
This makes HRV a great metric to measure how well-rested and ready for peak performance our body is.,"['a1_present_simple_3d_pers', 'a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']"
"As a rule of thumb, you should always do something to make your customers feel important.","['a2_should', 'a2_to_non_finite_forms', 'a2_zero_non_finite_forms']"
"There were areas for play and relaxation, nooks for reading, and various outdoor spaces for playing and studying.","['a1_there_was_were', 'a2_to_non_finite_forms']"
What's interesting is the metaphor that defines the relationship between the individual and the natural world.,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']"
"It shows how observation, curiosity and instinct work to create amazing art.","['a1_present_simple_3d_pers', 'a2_to_non_finite_forms']"
"While creation sometimes seems a bit un-graspable, or even pointless, creativity is always meaningful.","['a1_present_simple_3d_pers', 'a1_to_be_present_is_am_are']"
We've solved all the transportation problems that have changed the world to get it to where we are today.,"['a2_present_perfect', 'a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
"For the past 35 years, López Rivera has been unable to fly, his wings clipped.","['a2_present_perfect', 'a2_to_non_finite_forms']"
"Second, I believed my alcohol abuse posed a serious threat to it all.",['a1_past_simple_reg']
"We've got to meet our constituents where they are, and they're on Snapchat.","['a2_present_perfect', 'a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
"It didn't faze me, since I was about to move to California to chase my own dreams.","['a1_past_simple_reg', 'a2_to_non_finite_forms', 'a1_to_be_past_was_were']"
I was very interested when I saw the windmill could make electricity and pump water.,"['a1_to_be_past_was_were', 'a2_adjectives_ed', 'a1_past_simple_irreg', 'a2_could', 'a2_zero_non_finite_forms']"
"It looked as though Dudley had gotten the new computer he wanted, not to mention the second television and the racing bike.","['a1_past_simple_reg', 'a2_past_perfect_basic', 'a2_to_non_finite_forms']"
"As Mr. Dursley drove around the corner and up the road, he watched the cat in his mirror.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
"Oh, Harry, we were sure you were going to - Dumbledore was so worried -","['a1_to_be_past_was_were', 'a2_was_were_going_to']"
Bob's antiquated flip phone rings and he answers with a Yep.,"['a2_present_perfect', 'a1_present_simple_reg_act']"
Who doesn't want to go online and watch a few funny videos after a day of work?,"['a1_special_questions', 'a1_present_simple_3d_pers']"
"But the important question is: Did you catch any fur shots, Mom?","['a1_to_be_present_is_am_are', 'a1_past_simple_irreg']"
The intercom blared with the number of his flight: Tehran-St.,['a1_past_simple_reg']
These bad viruses really don't have any intention of showing up first in English or Spanish or French.,"['a1_present_simple_reg_act', 'a2_ing_non_finite_forms']"
She said that recycling in Canada had a fantastic entry into our psyche through kids between grade four and six.,"['a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_ing_non_finite_forms', 'a1_be_have_do_in_the_past']"
"And in Africa, cardiovascular disease equals the HIV and AIDS deaths in most countries.",['a1_present_simple_3d_pers']
"Gridlock causes longer travel times, which increases fuel use and emissions.","['a1_present_simple_reg_act', 'a2_relative_clause_who_which_that']"
"When babies are given alternatives to breastmilk, they breastfeed less often, making it harder for mothers to start and continue breastfeeding.","['a2_passive_present_simple', 'a1_present_simple_reg_act', 'a1_comparative_exept', 'a2_ing_non_finite_forms']"
"Of course, these aren't the closing weeks of the 2016 campaign.",['a1_to_be_present_is_am_are']
"Regardless of how you get it, through BMX or hockey, you are at risk for this.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"What if, in my altered state of mind, they were out of focus, or blurry?","['a1_to_be_past_was_were', 'a1_special_questions']"
"He is saying that if you find his pot of gold, he will give you 3 wishes.","['a1_present_continuous_act_rn', 'a2_second_conditional_if_m', 'a1_future_simple', 'a1_present_simple_reg_act']"
Dumbledore 's twinkling eyes flashed in the direction of the Weasley twins.,"['a1_possesive_s_sing', 'a1_past_simple_reg']"
"I'm fine, said Harry, hardly knowing what he was saying.","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn']"
"You must be good, Harry, Wood was almost skipping when he told us.","['a2_must', 'a2_past_continuous', 'a2_tell_reported_verb', 'a1_past_simple_irreg']"
Uncle Vernon stopped at last outside a gloomy- looking hotel on the outskirts of a big city.,['a1_past_simple_reg']
"There is no need to take a picture, just pause and admire the work.","['a1_there_is_am_are', 'a2_to_non_finite_forms', 'a2_imperatives']"
The exclusive NTV rights ended in 1997.There is nothing underhanded going on from Nippon's side.,"['a1_past_simple_reg', 'a1_there_is_am_are']"
"Fast-forward to June 2020, he had a $5,000,000+ launch selling the same product.","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']"
"I'm very partial to Chinese food, which has proven to be my comfort food on more than one occasion.","['a1_to_be_present_is_am_are', 'a2_relative_clause_who_which_that', 'a2_present_perfect', 'a2_to_non_finite_forms']"
"Now you've finished the lens, you literally pop it out.",['a2_present_perfect']
"Well, suffice it to say it's not all like that, but that's part of it.","['a1_to_be_present_is_am_are', 'a2_imperatives']"
"And within a day, we had decided that maybe we could take a shortcut to finding the structure of DNA.","['a2_past_perfect_basic', 'a2_could', 'a2_narrative_tenses']"
"And therefore, we're not going to be able to have many kids, and kids are really important to most people.","['a2_is_am_are_going_to', 'a1_to_be_present_is_am_are', 'a1_superlative_exept']"
Magazine estimates that the 40 acres and a mule promise would be worth $6.,['a1_present_simple_3d_pers']
"ESPN owns and produces the X Games, which had no comment on Mirra's diagnosis.","['a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a1_possesive_s_sing']"
So he turned to painting as a way to bring colour back into his life.,"['a1_past_simple_reg', 'a2_to_non_finite_forms']"
"If a few were poisoned and could kill you, he asked, would you want any at all?","['a2_second_conditional_if_m', 'a2_could', 'a1_past_simple_reg']"
"She said, what the hell are you doing to your brother?","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_special_questions', 'a1_present_continuous_act_rn']"
"Budweiser is a very bland and boring pilsner, which is like the Honda Civic of beers.","['a1_to_be_present_is_am_are', 'a2_relative_clause_who_which_that']"
Either that or hopefully our oldest two will continue to keep an eye out for him.,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
And the old man hugged Mr. Dursley around the middle and walked off.,['a1_past_simple_reg']
It was as though the broom was trying to buck him off.,"['a1_to_be_past_was_were', 'a2_past_continuous', 'a2_to_non_finite_forms']"
A sleeping bag is arguably the most important piece of gear you carry on a backpacking trip.,"['a1_to_be_present_is_am_are', 'a1_superlative_long', 'a1_present_simple_reg_act']"
"That's an active volcano, one of several in the state.",['a1_to_be_present_is_am_are']
Work gives you purpose and self-discovery while the relationships and experiences are what you'll remember the most.,"['a1_present_simple_3d_pers', 'a1_future_simple']"
"I was so afraid of failing and other people knowing about it, that I didn't tell anybody about my plans.","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_ing_non_finite_forms']"
We're purposely not signing anything with anybody until we actually have the working ones.,"['a1_present_simple_reg_act', 'a1_present_continuous_act_rn']"
So this is his answer about a defining moment in American history.,"['a1_to_be_present_is_am_are', 'a2_ing_non_finite_forms']"
"So yes, it begins inside the Pentagon, but over time it's going to cross that river.","['a1_present_simple_reg_act', 'a2_is_am_are_going_to']"
Everything is hopeless - we're always being told so by the media.,"['a2_passive_present_cont', 'a1_to_be_present_is_am_are']"
"The person that hasn't delivered a Zika funding bill is Mitch McConnell, he added.","['a2_present_perfect', 'a1_past_simple_reg']"
Mirra's wife Lauren was told of Mirra's CTE in March.,['a2_passive_past_simple']
"Although the amount of debt I would have after graduating was apparent up front, I did not fully understand it.","['a1_to_be_past_was_were', 'a1_past_simple_irreg']"
"This goes for all manner of other stuff too, particularly social things like sex and friendship-related stuff.",['a1_present_simple_3d_pers']
The interviewer's smile fades and his eyes go a bit wobbly.,"['a1_possesive_s_sing', 'a1_present_simple_3d_pers', 'a1_present_simple_reg_act']"
Casual school littering is something that is much much rarer in a Japanese school.,"['a1_to_be_present_is_am_are', '_a2_much_many_a_lot']"
"Yeah, well, if he's so smart, why is he dead?","['a1_to_be_present_is_am_are', 'a1_special_questions']"
"If you ever do run across it, you will now be prepared.","['a2_passive_will', 'a2_second_conditional_if_m', 'a1_present_simple_reg_act']"
"Well have another little chat soon, when you've had time to think things over and decided where your loyalties lie.","['a2_present_perfect', 'a2_to_non_finite_forms', 'a2_relative_clause_others', 'a1_present_simple_reg_act']"
"She hasn't got much time, he added quickly, you know, with five of us.","['a1_have_has_got', 'a1_past_simple_reg', 'a1_present_simple_reg_act']"
"Hagrid folded up his newspaper, and they clambered up the stone steps onto the street.",['a1_past_simple_reg']
"We watched the final surf sessions of the day while the golden, darkening sky blended with the shade of the ocean.",['a1_past_simple_reg']
"Whether soldiers from WWI or little mermaids with a dream, characters need to be coherent.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
Jules was ripping grass from the dirt and tossing it to get caught in the wind while Madrona examined her body.,"['a2_past_continuous', 'a2_to_non_finite_forms', 'a1_past_simple_reg']"
There's one nano-engineered device that cures type 1 diabetes.,"['a1_there_is_am_are', 'a1_present_simple_3d_pers']"
"The survey was not, in the end, going to be what got Sudhir off the hook.","['a2_was_were_going_to', 'a1_past_simple_irreg']"
"However, this city was blessed in the late 1990s with a highly-influential mayor named Enrique PeГ±alosa.",['a2_passive_past_simple']
You can engineer a prairie vole to become monogamous when it's naturally polygamous.,"['a1_can', 'a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
